code_voie;no_voie;code_id_commune;voie;code_departement;commune;type_de_voie;code_postal
30;62;52;DU BONATIER;1;MIONNAY;CHE;1390.0
140;40;53;DES CANNES;1;VILLIEU-LOYES-MOLLON;MTE;1800.0
925;12;54;LUCIEN QUITTELIER;2;CHAUNY;RUE;2300.0
910;27;55;FERNAND THUILLART;2;LAON;RUE;2000.0
535;1;55;CONDORCET;2;LAON;RUE;2000.0
2278;15;55;DU REMPART SAINT REMY;2;LAON;RUE;2000.0
250;11;55;BONNOT;2;LAON;RUE;2000.0
301;2;56;MAZIN;2;LA FERE;RUE;2800.0
2040;13;55;PAUL DOUMER;2;LAON;RUE;2000.0
1070;20;54;DES OEUVRES DE CHINE;2;CHAUNY;RUE;2300.0
2860;13;55;VINCHON;2;LAON;RUE;2000.0
400;15;55;DU CHANGE;2;LAON;RUE;2000.0
2040;13;55;PAUL DOUMER;2;LAON;RUE;2000.0
2040;13;55;PAUL DOUMER;2;LAON;RUE;2000.0
350;27;55;CARLIER HENNECART;2;LAON;RUE;2000.0
1333;9001;55;JEAN DE LA FONTAINE;2;LAON;RUE;2000.0
1334;27;55;JEAN RACINE;2;LAON;RUE;2000.0
1700;10;55;DU MARCHE;2;LAON;PL;2000.0
1590;32;55;DE LA LINOTTE;2;LAON;RUE;2000.0
535;1;55;CONDORCET;2;LAON;RUE;2000.0
1930;1;55;DES NEUFLIERS;2;LAON;RLE;2000.0
39;30;57;DE L EGLISE;2;URCEL;RUE;2000.0
190;1;54;BOUZIER;2;CHAUNY;PL;2300.0
535;1;55;CONDORCET;2;LAON;RUE;2000.0
2620;30;55;SERURIER;2;LAON;RUE;2000.0
130;16;58;DE MONTEVIDEO;2;SAINT GOBAIN;RUE;2410.0
2555;108;59;GAMBETTA;2;TERGNIER;BD;2700.0
1590;32;55;DE LA LINOTTE;2;LAON;RUE;2000.0
1590;32;55;DE LA LINOTTE;2;LAON;RUE;2000.0
1590;32;55;DE LA LINOTTE;2;LAON;RUE;2000.0
78;9003;60;ROBERT GODARD;2;FOLEMBRAY;RUE;2670.0
540;4;55;DE LA CONGREGATION;2;LAON;RUE;2000.0
45;21;55;AMPERE;2;LAON;RUE;2000.0
360;3;55;CARNOT;2;LAON;AV;2000.0
2620;30;55;SERURIER;2;LAON;RUE;2000.0
5210;2;61;DE LA SELLERIE;2;SAINT QUENTIN;RUE;2100.0
2920;1;61;D ISLE;2;SAINT QUENTIN;RUE;2100.0
2670;23;61;DU GOUVERNEMENT;2;SAINT QUENTIN;RUE;2100.0
