no_disposition;date_mutation;valeur_fonciere
1;2020-02-13;309800
1;2020-02-12;1076000
1;2020-02-12;135500
1;2020-01-15;144400
1;2020-01-21;238000
1;2020-02-27;120625
1;2020-02-17;194030
1;2020-02-21;532500
1;2020-03-04;357100
1;2020-02-19;168782.9
1;2020-02-17;297000
1;2020-03-16;335300
1;2020-02-21;208000
1;2020-03-16;245600
1;2020-03-09;692000
1;2020-03-06;230000
1;2020-03-03;145825
1;2020-03-06;166850
1;2020-02-28;202500
1;2020-03-10;377600
1;2020-03-05;205370
1;2020-03-02;196600
1;2020-02-28;302500
1;2020-03-05;79900
1;2020-03-06;616000
1;2020-03-03;1755000
1;2020-03-27;122500
1;2020-03-16;299250
1;2020-03-06;685500
1;2020-03-17;718626
1;2020-03-26;251750
1;2020-03-31;92500
1;2020-03-20;723000
1;2020-03-12;78850
1;2020-03-23;72500
1;2020-04-02;244370
1;2020-03-31;798000
1;2020-04-09;308000
1;2020-04-07;152500
1;2020-04-20;383450
1;2020-04-23;525000
1;2020-04-15;455240
1;2020-04-21;123900
1;2020-03-26;133000
1;2020-02-11;33609
1;2020-02-11;67991
1;2020-04-16;319000
1;2020-04-24;162300
1;2020-04-27;610000
1;2020-05-06;120560
1;2020-04-30;695000
1;2020-05-05;378000
1;2020-05-05;292500
1;2020-04-30;85100
1;2020-04-27;165000
1;2020-05-15;204700
1;2020-05-18;337000
1;2020-05-15;121700
1;2020-05-14;266000
1;2020-04-30;324250
1;2020-05-06;190450
1;2020-05-11;455000
1;2020-05-19;178525
1;2020-05-19;201400
1;2020-05-04;208500
1;2020-03-30;63000
1;2020-05-19;88550
1;2020-05-19;228000
1;2020-05-11;155550
1;2020-04-28;146430
1;2020-05-20;196100
1;2020-05-14;387000
1;2020-05-15;185000
1;2020-05-25;261250
1;2020-05-14;514000
1;2020-05-29;148750
1;2020-05-26;74000
1;2020-05-14;198200
1;2020-05-15;935000
1;2020-05-28;81300
1;2020-05-18;156250
1;2020-05-14;74400
1;2020-06-04;780000
1;2020-06-04;352960
1;2020-05-19;287000
1;2020-05-20;159200
1;2020-05-15;141000
1;2020-05-19;279000
1;2020-05-25;370545
1;2020-05-28;422000
1;2020-05-20;193700
1;2020-05-20;539280
1;2020-05-20;321175
1;2020-05-25;809000
1;2020-05-28;167500
1;2020-05-22;232180
1;2020-05-25;212700
1;2020-06-04;272600
1;2020-06-11;169600
1;2020-06-10;102800
1;2020-06-09;166500
1;2020-05-29;810000
1;2020-06-10;294975
1;2020-06-03;860000
1;2020-06-09;219990
1;2020-06-03;215200
1;2020-06-12;365580
1;2020-06-19;450000
1;2020-06-05;675000
1;2020-06-11;189400
1;2020-06-08;186600
1;2020-06-15;148900
1;2020-06-05;102700
1;2020-06-03;180000
1;2020-06-02;119100
1;2020-06-09;84112
1;2020-06-10;90500
1;2020-06-17;346000
1;2020-05-29;66000
1;2020-06-04;131600
1;2020-06-15;230300
1;2020-05-19;82000
1;2020-06-15;143000
1;2020-06-12;210000
1;2020-06-08;274000
1;2020-06-29;179900
1;2020-06-08;214000
1;2020-06-16;73000
1;2020-06-26;169000
1;2020-04-30;254280
1;2020-06-02;342000
1;2020-06-30;328300
1;2020-06-10;203300
1;2020-06-16;167960
1;2020-06-17;432500
1;2020-06-30;970000
1;2020-06-19;82500
1;2020-06-22;263500
1;2020-06-05;138800
1;2020-06-12;565000
1;2020-06-17;1582542
1;2020-06-15;52000
1;2020-06-15;155350
1;2020-06-26;401470
1;2020-06-25;166000
1;2020-06-16;285000
1;2020-06-30;445100
1;2020-06-26;137700
